,language,countries,endangerment,speakers,latitude,longitude
331,Tialo,Indonesia,Vulnerable,30000,0.4888,120.8935
332,Tidikelt,Algeria,Critically endangered,30000,26.8828,2.5488
333,Toba,Argentina,Definitely endangered,30000,-25.958,-59.0625
334,Tundra Nenets,Russian Federation,Definitely endangered,30000,67.5001,67.7856
335,Vojvodina Rusyn,"Croatia, Serbia",Definitely endangered,30000,45.6351,19.1903
336,Wuse,China,Vulnerable,30000,24.878,109.1053
337,Agul,Russian Federation,Definitely endangered,29399,41.7518,47.6875
338,Rutul,"Azerbaijan, Russian Federation",Definitely endangered,29383,41.5332,47.3181
339,Bateri,Pakistan,Definitely endangered,29000,34.9073,72.8675
340,Mzieme,India,Vulnerable,29000,25.6019,93.8891
341,Ghale,Nepal,Vulnerable,28989,28.2501,84.718
342,Sierra Popoluca,Mexico,Vulnerable,28700,18.245,-94.76
343,Kurux (Nepal),Nepal,Vulnerable,28615,26.6032,87.2259
344,Deori,India,Definitely endangered,28000,27.1911,94.1528
345,Soyaltepec Mazatec,Mexico,Vulnerable,27524,18.2499,-96.3995
346,Western Mazahua,Mexico,Definitely endangered,27037,19.4372,-100.3552
347,Sibe,China,Severely endangered,27000,43.6599,81.3427
348,Isthmus Náhuatl,Mexico,Vulnerable,26632,18.2209,-94.8382
349,Sunwar,Nepal,Vulnerable,26611,27.3485,86.2337
350,Mancagne,Senegal,Vulnerable,26450,12.7743,-15.6967
351,Gadaba,India,Critically endangered,26262,18.3858,82.7819
352,Banat Bulgarian,"Romania, Serbia",Definitely endangered,25000,45.4832,20.9069
353,Csángó Hungarian,Romania,Severely endangered,25000,46.7925,27.1911
354,Koda,India,Vulnerable,25000,22.1263,87.0776
355,Minhe Monguor,China,Definitely endangered,25000,36.4919,102.6452
356,Miskito (Honduras),Honduras,Vulnerable,25000,15.3393,-84.6034
357,Olonetsian,"Finland, Russian Federation",Definitely endangered,25000,61.1273,32.8765
358,Saek,"Lao People's Democratic Republic, Thailand",Definitely endangered,25000,19.3166,104.7833
359,Sioux,United States of America,Vulnerable,25000,43.0588,-102.5244
360,Tamazight (Beni Iznassen),Morocco,Definitely endangered,25000,34.7506,-2.1917
361,Tsakhur,"Azerbaijan, Russian Federation",Definitely endangered,25000,41.6523,46.9775
362,Warao,"Guyana, Venezuela (Bolivarian Republic of)",Definitely endangered,25000,8.6027,-61.3806
363,Majhi,Nepal,Severely endangered,24664,27.9208,83.5082
364,Jone,China,Definitely endangered,24000,34.5947,103.5653
365,Andi,Russian Federation,Definitely endangered,23729,42.7308,46.2963
366,Guambiano,Colombia,Definitely endangered,23462,2.6138,-76.3906
367,Anal,India,Vulnerable,23000,24.1517,93.9385
368,Hawrami,"Iran (Islamic Republic of), Iraq",Definitely endangered,23000,35.4259,46.2551
369,Juang,India,Definitely endangered,23000,21.0742,85.6164
370,Tiwa,India,Definitely endangered,23000,25.7801,92.5927
